Name,UPC,Price (excl. tax),Rating,Has Description,Image URL,Description,Availability,Category_Academic,Category_Add a comment,Category_Adult Fiction,Category_Art,Category_Autobiography,Category_Biography,Category_Business,Category_Childrens,Category_Christian,Category_Christian Fiction,Category_Classics,Category_Contemporary,Category_Crime,Category_Cultural,Category_Default,Category_Erotica,Category_Fantasy,Category_Fiction,Category_Food and Drink,Category_Health,Category_Historical,Category_Historical Fiction,Category_History,Category_Horror,Category_Humor,Category_Music,Category_Mystery,Category_New Adult,Category_Nonfiction,Category_Novels,Category_Paranormal,Category_Parenting,Category_Philosophy,Category_Poetry,Category_Politics,Category_Psychology,Category_Religion,Category_Romance,Category_Science,Category_Science Fiction,Category_Self Help,Category_Sequential Art,Category_Short Stories,Category_Spirituality,Category_Sports and Games,Category_Suspense,Category_Thriller,Category_Travel,Category_Womens Fiction,Category_Young Adult
A Light in the Attic,a897fe39b1053632,51.77,3,True,https://books.toscrape.com/media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg,,22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tipping the Velvet,90fa61229261140a,53.74,1,True,https://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Soumission,6957f44c3847a760,50.1,1,True,https://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sharp Objects,e00eb4fd7b871a48,47.82,4,True,https://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sapiens: A Brief History of Humankind,4165285e1663650f,54.23,5,True,https://books.toscrape.com/media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg,,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Requiem Red,f77dbf2323deb740,22.65,1,True,https://books.toscrape.com/media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg,,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
The Dirty Little Secrets of Getting Your Dream Job,2597b5a345f45e1b,33.34,4,True,https://books.toscrape.com/media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,,19,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",e72a5dfc7e9267b2,17.93,3,True,https://books.toscrape.com/media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,e10e1e165dc8be4a,22.6,4,True,https://books.toscrape.com/media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Black Maria,1dfe412b8ac00530,52.15,1,True,https://books.toscrape.com/media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg,,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
